"numid","plant.genus","plant.species","plant.spp","frug.taxon","family","frug.genus","frug.species","frug.spp","lat_region","mainisland","old_new_world","year","country","plant.invasive","frug.invasive","plant.iucn.category","frug.iucn.category","feedtrial","germtrial","planting.location","germ.effect","rate.effect","compare.against","fleshy","gut.portion","n.gut","control.portion","n.control","maybe.regurg","ai","bi","ci","di","citation","yi","vi"
"1","Ziziphus","mistol","Ziziphus mistol","reptile","Rhamnaceae","Chelonoidis","chilensis","Chelonoidis chilensis","subtropical","mainland","new world",2002,"Argentina","Not in GISD","Not in GISD","DD","VU","yes","yes","greenhouse/nursery soil","pos",NA,"mechanically cleaned","yes",0.064,200,0.05,200,NA,13,187,10,190,"Varela, O. (2002) Seed Dispersal by Chelonoidis chilensis in the Chaco Dry Woodland of Argentina. Journal of Herpetology.",0.27827971977339,0.187533828400701
"1","Celtis","pallida","Celtis pallida","reptile","Cannabaceae","Chelonoidis","chilensis","Chelonoidis chilensis","subtropical","mainland","new world",2002,"Argentina","Not in GISD","Not in GISD",NA,"VU","yes","yes","greenhouse/nursery soil","no",NA,"mechanically cleaned","yes",0.35,200,0.096,200,NA,70,130,19,181,"Varela, O. (2002) Seed Dispersal by Chelonoidis chilensis in the Chaco Dry Woodland of Argentina. Journal of Herpetology.",1.63501884369316,0.0801344628038434
"2","Acacia","aroma","Acacia aroma","non-flying mammal other than primate","Leguminosae","Cerdocyon","thous","Cerdocyon thous","subtropical","mainland","new world",2006,"Argentina","Not in GISD","Not in GISD",NA,"LC","yes","yes","field soil","no",NA,"mechanically cleaned","yes",0.333427909,200,0.289652329,200,NA,67,133,58,142,"Varela, O. (2006) Passage time, viability, and germination of seeds ingested by foxes. Journal of Arid Environments. 67. 566-578.",0.209727538224054,0.0467278029582811
"2","Acacia","aroma","Acacia aroma","non-flying mammal other than primate","Leguminosae","Lycalopex","gymnocercus","Lycalopex gymnocercus","subtropical","mainland","new world",2006,"Argentina","Not in GISD","Not in GISD",NA,"LC","yes","yes","field soil","pos",NA,"mechanically cleaned","yes",0.362386598,200,0.289652329,200,NA,72,128,58,142,"Varela, O. (2006) Passage time, viability, and germination of seeds ingested by foxes. Journal of Arid Environments. 67. 566-578.",0.32001990215128,0.0459850217203605
"2","Ziziphus","mistol","Ziziphus mistol","non-flying mammal other than primate","Rhamnaceae","Lycalopex","gymnocercus","Lycalopex gymnocercus","subtropical","mainland","new world",2006,"Argentina","Not in GISD","Not in GISD","DD","LC","yes","yes","field soil","pos",NA,"mechanically cleaned","yes",0.160875934,200,0.005091112,200,NA,32,168,1,199,"Varela, O. (2006) Passage time, viability, and germination of seeds ingested by foxes. Journal of Arid Environments. 67. 566-578.",3.63507674812096,1.04222750658052
"3","Geoffroea","decorticans","Geoffroea decorticans","bird","Leguminosae","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD","LC","NT","yes","yes","petri dish (or similar)","pos","no","mechanically cleaned","yes",0.321428571,56,0,56,NA,18,38,0,56,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",3.99450030950288,2.09772719507233
"3","Ziziphus","mistol","Ziziphus mistol","bird","Rhamnaceae","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD","DD","NT","yes","yes","petri dish (or similar)","pos","pos","mechanically cleaned","yes",0.173913044,161,0,161,NA,28,133,0,161,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",4.23345493265696,2.04877030646676
"3","Prosopis","nigra","Prosopis nigra","bird","Leguminosae","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD","DD","NT","yes","yes","petri dish (or similar)","pos",NA,"mechanically cleaned","yes",0.238095238,21,0,120,NA,5,16,0,120,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",4.38618464482254,2.25072299761096
"3","Prosopis","alba","Prosopis alba","bird","unknown","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD","LR/nt","NT","yes","yes","petri dish (or similar)","no","no","mechanically cleaned","yes",0.105263158,57,0,100,NA,6,51,0,100,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",3.23352527729098,2.18321387833053
"3","Celtis","iguanaea","Celtis iguanaea","bird","unknown","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD",NA,"NT","yes","yes","petri dish (or similar)","neg","no","mechanically cleaned","yes",0.12,50,0.068239108,50,NA,6,44,3,47,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",0.759105148351743,0.544003868471954
"3","Condalia","microphylla","Condalia microphylla","bird","Rhamnaceae","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD",NA,"NT","yes","yes","petri dish (or similar)","no",NA,"mechanically cleaned","yes",0,30,0.237037037,30,NA,0,30,7,23,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",-2.96877646356546,2.2086734100686
"3","Geoffroea","decorticans","Geoffroea decorticans","bird","Leguminosae","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD","LC","NT","yes","yes","petri dish (or similar)","pos","no","whole fruit","yes",0.321428571,56,0,56,NA,18,38,0,56,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",3.99450030950288,2.09772719507233
"3","Ziziphus","mistol","Ziziphus mistol","bird","Rhamnaceae","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD","DD","NT","yes","yes","petri dish (or similar)","pos","pos","whole fruit","yes",0.173913044,161,0,161,NA,28,133,0,161,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",4.23345493265696,2.04877030646676
"3","Prosopis","nigra","Prosopis nigra","bird","Leguminosae","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD","DD","NT","yes","yes","petri dish (or similar)","pos",NA,"whole fruit","yes",0.238095238,21,0,120,NA,5,16,0,120,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",4.38618464482254,2.25072299761096
"3","Prosopis","alba","Prosopis alba","bird","unknown","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD","LR/nt","NT","yes","yes","petri dish (or similar)","no","no","whole fruit","yes",0.105263158,57,0,120,NA,6,51,0,120,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",3.41501730272256,2.18156238476103
"3","Celtis","iguanaea","Celtis iguanaea","bird","unknown","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD",NA,"NT","yes","yes","petri dish (or similar)","neg","no","whole fruit","yes",0.12,50,0.371681416,50,NA,6,44,19,31,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",-1.5028819393715,0.274283582857437
"3","Condalia","microphylla","Condalia microphylla","bird","Rhamnaceae","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD",NA,"NT","yes","yes","petri dish (or similar)","no",NA,"whole fruit","yes",0,30,0.034858388,30,NA,0,30,1,29,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",-1.1319487089357,2.73335185699731
"5","Diospyros","virginiana","Diospyros virginiana","non-flying mammal other than primate","Ebenaceae","Elephas","maximus","Elephas maximus","temperate","mainland","new world",2015,"United States","Not in GISD","Not in GISD",NA,"EN","yes","yes","greenhouse/nursery soil",NA,NA,"whole fruit","yes",0.53,26,0.2,55,NA,14,12,11,44,"Boone, M. (2015) A Test of Potential Pleistocene Mammal Seed Dispersal in Anachronistic Fruits using Extant Ecological and Physiological Analogs. Southeastern Naturalist.",1.54044504094715,0.268398268398268
"5","Maclura","pomifera","Maclura pomifera","non-flying mammal other than primate","Moraceae","Elephas","maximus","Elephas maximus","temperate","mainland","new world",2015,"United States","Not in GISD","Not in GISD",NA,"EN","yes","yes","greenhouse/nursery soil",NA,NA,"whole fruit","yes",0.53,26,0.001,1250,NA,14,12,1,1249,"Boone, M. (2015) A Test of Potential Pleistocene Mammal Seed Dispersal in Anachronistic Fruits using Extant Ecological and Physiological Analogs. Southeastern Naturalist.",7.28424918995284,1.15556254527431
"9","Flueggea","virosa","Flueggea virosa","primate","Phyllanthaceae","Papio","anubis","Papio anubis","tropical","mainland","old world",1979,"Ghana","Not in GISD","Not in GISD",NA,"LC","no","yes","petri dish (or similar)","pos",NA,"mechanically cleaned","yes",0.97,100,0.22,100,NA,97,3,22,78,"Lieberman, D. (1979) Seed Dispersal by Baboons in the Shai Hills, Ghana. Ecology.",4.74176506316655,0.401917669958907
"9","Azadirachta","indica","Azadirachta indica","primate","Meliaceae","Papio","anubis","Papio anubis","tropical","mainland","old world",1979,"Ghana","Not in GISD","Not in GISD",NA,"LC","no","yes","petri dish (or similar)","pos",NA,"mechanically cleaned","yes",1,100,0.68,100,NA,100,0,68,32,"Lieberman, D. (1979) Seed Dispersal by Baboons in the Shai Hills, Ghana. Ecology.",4.55771125212659,2.05531801967144
"9","Sarcocephalus","latifolius","Sarcocephalus latifolius","primate","Rubiaceae","Papio","anubis","Papio anubis","tropical","mainland","old world",1979,"Ghana","Not in GISD","Not in GISD",NA,"LC","no","yes","petri dish (or similar)",NA,NA,"mechanically cleaned","yes",0.21,100,0.05,100,NA,21,79,5,95,"Lieberman, D. (1979) Seed Dispersal by Baboons in the Shai Hills, Ghana. Ecology.",1.61951356442284,0.270803591256623
"9","Diospyros","mespiliformis","Diospyros mespiliformis","primate","unknown","Papio","anubis","Papio anubis","tropical","mainland","old world",1979,"Ghana","Not in GISD","Not in GISD",NA,"LC","no","yes","petri dish (or similar)",NA,NA,"mechanically cleaned","yes",0.94,100,0.87,100,NA,94,6,87,13,"Lieberman, D. (1979) Seed Dispersal by Baboons in the Shai Hills, Ghana. Ecology.",0.850576551848901,0.265722294335647
"11","Nitraria","billardierei","Nitraria billardierei","bird","Nitrariaceae","Dromaius","novaehollandiae","Dromaius novaehollandiae","temperate","mainland","old world",1975,"Australia","Not in GISD","Not in GISD",NA,"LC","yes","yes","petri dish (or similar)","pos",NA,"mechanically cleaned","yes",0.332786829,200,0.00985637,200,"no",67,133,2,198,"Noble, J. (1975) The effects of emus (Dromaius novaehollandiae Latham) on the distribution of nitre bush (Nitraria billardieri DC.). Journal of Ecology.",3.9094633413038,0.527494675177315
"15","Schinus","terebinthifolia","Schinus terebinthifolia","bird","Anacardiaceae","Zosterops","lateralis","Zosterops lateralis","subtropical","mainland","old world",1997,"Australia","Not in GISD","Not in GISD",NA,"LC","yes","yes","petri dish (or similar)","no","no","mechanically cleaned","yes",0.92626176,100,0.88008106,100,NA,93,7,88,12,"Panetta, F. (1997) Recruitment of the invasive ornamental, Schinus terebinthifolius, is dependent upon frugivores. Austral Ecology. 432-438.",0.594259179407737,0.248306800726156
"15","Schinus","terebinthifolia","Schinus terebinthifolia","bird","Anacardiaceae","Zosterops","lateralis","Zosterops lateralis","subtropical","mainland","old world",1997,"Australia","Not in GISD","Not in GISD",NA,"LC","yes","yes","petri dish (or similar)","pos","pos","whole fruit","yes",0.92626176,100,0.060913555,100,NA,93,7,6,94,"Panetta, F. (1997) Recruitment of the invasive ornamental, Schinus terebinthifolius, is dependent upon frugivores. Austral Ecology. 432-438.",5.33822465713989,0.330914795568193
"16","Amelanchier","arborea","Amelanchier arborea","bird","Rosaceae","Bombycilla","cedrorum","Bombycilla cedrorum","temperate","mainland","new world",1986,"United States","Not in GISD","Not in GISD",NA,"LC","yes","yes","greenhouse/nursery soil","neg",NA,"mechanically cleaned","yes",0.0466,8039,0.0679,8001,NA,375,7664,543,7458,"Robinson, W. (1986) Effect of Fruit Ingestion on Amelanchier seed Germination. Bulletin of the Torrey Botanical Club.",-0.397430052875455,0.00477285166471296
"16","Amelanchier","arborea","Amelanchier arborea","bird","Rosaceae","Bombycilla","cedrorum","Bombycilla cedrorum","temperate","mainland","new world",1986,"United States","Not in GISD","Not in GISD",NA,"LC","yes","yes","greenhouse/nursery soil","neg",NA,"whole fruit","yes",0.0466,8039,0.0144,4158,NA,375,7664,60,4098,"Robinson, W. (1986) Effect of Fruit Ingestion on Amelanchier seed Germination. Bulletin of the Torrey Botanical Club.",1.20654647289646,0.0197078349742376
"16","Amelanchier","arborea","Amelanchier arborea","non-flying mammal other than primate","Rosaceae","Tamias","striatus","Tamias striatus","temperate","mainland","new world",1986,"United States","Not in GISD","Not in GISD",NA,"LC","yes","yes","greenhouse/nursery soil","neg",NA,"mechanically cleaned","yes",0,285,0.0679,8001,NA,0,285,543,7458,"Robinson, W. (1986) Effect of Fruit Ingestion on Amelanchier seed Germination. Bulletin of the Torrey Botanical Club.",-3.72830931562329,2.00547662858937
"16","Amelanchier","arborea","Amelanchier arborea","non-flying mammal other than primate","Rosaceae","Tamias","striatus","Tamias striatus","temperate","mainland","new world",1986,"United States","Not in GISD","Not in GISD",NA,"LC","yes","yes","greenhouse/nursery soil","neg",NA,"whole fruit","yes",0,285,0.0144,4158,NA,0,285,60,4098,"Robinson, W. (1986) Effect of Fruit Ingestion on Amelanchier seed Germination. Bulletin of the Torrey Botanical Club.",-2.13165624259972,2.02027554429434
"17","Ryparosa","sp","Ryparosa sp","bird","unknown","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2004,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","greenhouse/nursery soil","pos",NA,"whole fruit","yes",0.442,52,0.04,24,NA,23,29,1,23,"Webber, B. (2004) Cassowary frugivory, seed defleshing and fruit fly infestation influence the transition from seed to seedling in the rare Australian rainforest tree, Ryparosa sp. nov. 1 (Achariaceae). Functional Plant Biology. 505-516.",2.90369260187183,1.12143928035982
"17","Ryparosa","sp","Ryparosa sp","bird","unknown","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2004,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","greenhouse/nursery soil","pos",NA,"mechanically cleaned","yes",0.442,52,0.3,60,NA,23,29,18,42,"Webber, B. (2004) Cassowary frugivory, seed defleshing and fruit fly infestation influence the transition from seed to seedling in the rare Australian rainforest tree, Ryparosa sp. nov. 1 (Achariaceae). Functional Plant Biology. 505-516.",0.615496246329879,0.157326098855334
"18","Murraya","paniculata","Murraya paniculata","bird","Rutaceae","Sphecotheres","viridis","Sphecotheres viridis","subtropical","mainland","old world",2006,"Australia","Not in GISD","Not in GISD",NA,"LC","no","yes","greenhouse/nursery soil","no",NA,"whole fruit","yes",0.75,204,0.7486,144,NA,153,51,108,36,"White, E. (2006) Murraya paniculata: what is the potential for this popular ornamental plant to become an environmental weed?. Australian Weeds Conference.",0,0.0631808278867102
"18","Murraya","paniculata","Murraya paniculata","bird","Rutaceae","Sphecotheres","viridis","Sphecotheres viridis","subtropical","mainland","old world",2006,"Australia","Not in GISD","Not in GISD",NA,"LC","no","yes","greenhouse/nursery soil","no",NA,"whole fruit","yes",0.75,204,0.6167,120,NA,153,51,74,46,"White, E. (2006) Murraya paniculata: what is the potential for this popular ornamental plant to become an environmental weed?. Australian Weeds Conference.",0.623188591953035,0.0613964347979693
"18","Murraya","paniculata","Murraya paniculata","bird","Rutaceae","Sphecotheres","viridis","Sphecotheres viridis","subtropical","mainland","old world",2006,"Australia","Not in GISD","Not in GISD",NA,"LC","no","yes","greenhouse/nursery soil","no",NA,"mechanically cleaned","yes",0.75,204,0.7806,144,NA,153,51,112,32,"White, E. (2006) Murraya paniculata: what is the potential for this popular ornamental plant to become an environmental weed?. Australian Weeds Conference.",-0.154150679827258,0.0663223622782446
"19","Panda","oleosa","Panda oleosa","non-flying mammal other than primate","Pandaceae","Loxodonta","cyclotis","Loxodonta cyclotis","tropical","mainland","old world",1987,"Ghana","Not in GISD","Not in GISD",NA,"VU","no","yes","petri dish (or similar)","no",NA,"mechanically cleaned","yes",0,102,0,33,NA,0,102,0,33,"Lieberman, D. (1987) Notes on Seeds in Elephant Dung from Bia National Park, Ghana. Biotropica.",-1.11831735974744,4.03960684382963
"19","Balanites","wilsoniana","Balanites wilsoniana","non-flying mammal other than primate","Zygophyllaceae","Loxodonta","cyclotis","Loxodonta cyclotis","tropical","mainland","old world",1987,"Ghana","Not in GISD","Not in GISD",NA,"VU","no","yes","petri dish (or similar)","neg",NA,"mechanically cleaned","yes",0.17,47,0,24,NA,8,39,0,24,"Lieberman, D. (1987) Notes on Seeds in Elephant Dung from Bia National Park, Ghana. Biotropica.",2.35558578969982,2.18377984105034
"19","Parinari","excelsa","Parinari excelsa","non-flying mammal other than primate","Chrysobalanaceae","Loxodonta","cyclotis","Loxodonta cyclotis","tropical","mainland","old world",1987,"Ghana","Not in GISD","Not in GISD",NA,"VU","no","yes","petri dish (or similar)","no",NA,"mechanically cleaned","yes",0.03,65,0,6,NA,2,63,0,6,"Lieberman, D. (1987) Notes on Seeds in Elephant Dung from Bia National Park, Ghana. Biotropica.",-0.669799816562954,2.56959418534222
"19","Pycnanthus","angolensis","Pycnanthus angolensis","non-flying mammal other than primate","Myristicaceae","Loxodonta","cyclotis","Loxodonta cyclotis","tropical","mainland","old world",1987,"Ghana","Not in GISD","Not in GISD",NA,"VU","no","yes","petri dish (or similar)","no",NA,"mechanically cleaned","yes",1,2,0,21,NA,2,0,0,21,"Lieberman, D. (1987) Notes on Seeds in Elephant Dung from Bia National Park, Ghana. Biotropica.",5.37063802812766,4.44651162790698
"19","Diospyros","sp","Diospyros sp","non-flying mammal other than primate","unknown","Loxodonta","cyclotis","Loxodonta cyclotis","tropical","mainland","old world",1987,"Ghana","Not in GISD","Not in GISD",NA,"VU","no","yes","petri dish (or similar)","no",NA,"mechanically cleaned","yes",1,1,0,66,NA,1,0,0,66,"Lieberman, D. (1987) Notes on Seeds in Elephant Dung from Bia National Park, Ghana. Biotropica.",5.98896141688986,4.68170426065163
"21","Annona","glabra","Annona glabra","bird","Annonaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2007,"Australia","Invasive","Not in GISD",NA,"VU","yes","yes","greenhouse/nursery soil","no","pos","mechanically cleaned","yes",0.9,359,0.88,107,NA,323,36,94,13,"Westcott, D. (2007) Cassowary dispersal of the invasive pond apple in a tropical rainforest: the contribution of subordinate dispersal modes in invasion. Diverstiy and Distribution.",0.215787959958079,0.118435127805393
"21","Annona","glabra","Annona glabra","bird","Annonaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2007,"Australia","Invasive","Not in GISD",NA,"VU","yes","yes","greenhouse/nursery soil",NA,NA,"whole fruit","yes",0.9,359,0.82,1640,NA,323,36,1345,295,"Westcott, D. (2007) Cassowary dispersal of the invasive pond apple in a tropical rainforest: the contribution of subordinate dispersal modes in invasion. Diverstiy and Distribution.",0.676959449070427,0.0350070779422423
"21","Annona","glabra","Annona glabra","bird","Annonaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2007,"Australia","Invasive","Not in GISD",NA,"VU","yes","yes","greenhouse/nursery soil",NA,NA,"mechanically cleaned","yes",0.79,1569,0.88,107,NA,1240,329,94,13,"Westcott, D. (2007) Cassowary dispersal of the invasive pond apple in a tropical rainforest: the contribution of subordinate dispersal modes in invasion. Diverstiy and Distribution.",-0.651536516974757,0.0914073400861321
"21","Annona","glabra","Annona glabra","bird","Annonaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2007,"Australia","Invasive","Not in GISD",NA,"VU","yes","yes","greenhouse/nursery soil","no","neg","whole fruit","yes",0.79,1569,0.82,1640,NA,1240,329,1345,295,"Westcott, D. (2007) Cassowary dispersal of the invasive pond apple in a tropical rainforest: the contribution of subordinate dispersal modes in invasion. Diverstiy and Distribution.",-0.190365027862409,0.00797929022298117
"22","Aceratium","doggrellii","Aceratium doggrellii","bird","Elaeocarpaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","no",NA,"whole fruit","yes",0,40,0,40,NA,0,40,0,40,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",0,4.04938271604938
"22","Aceratium","doggrellii","Aceratium doggrellii","bird","Elaeocarpaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","no",NA,"whole fruit","yes",0,40,0,50,NA,0,40,0,50,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",0.220671362168821,4.04449333822271
"22","Aceratium","doggrellii","Aceratium doggrellii","bird","Elaeocarpaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","no",NA,"whole fruit","yes",0,40,0,50,NA,0,40,0,50,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",0.220671362168821,4.04449333822271
"22","Syzygium","divaricatum","Syzygium divaricatum","bird","Myrtaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","no",NA,"whole fruit","yes",0.825,42,0.862,29,NA,35,7,25,4,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",-0.223143551314209,0.461428571428571
"22","Syzygium","divaricatum","Syzygium divaricatum","bird","Myrtaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","no",NA,"whole fruit","yes",0.75,60,0.862,29,NA,45,15,25,4,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",-0.7339691750802,0.378888888888889
"22","Syzygium","divaricatum","Syzygium divaricatum","bird","Myrtaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","no",NA,"whole fruit","yes",0.406,32,0.862,29,NA,13,19,25,4,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",-2.21207108545321,0.419554655870445
"22","Apodytes","brachystylis","Apodytes brachystylis","bird","Icacinaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","pos",NA,"whole fruit","yes",1,15,0,15,NA,15,0,0,15,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",6.86797440897029,4.12903225806452
"22","Apodytes","brachystylis","Apodytes brachystylis","bird","Icacinaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","no",NA,"whole fruit","yes",0.9,20,0,15,NA,18,2,0,15,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",5.43546720469527,2.51857018308631
"22","Beilschmiedia","oligandra","Beilschmiedia oligandra","bird","Lauraceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","no",NA,"whole fruit","yes",1,10,0.933,15,NA,10,0,14,1,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",0.77583889640506,2.83087027914614
"22","Calophyllum","costatum","Calophyllum costatum","bird","Clusiaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","pos",NA,"whole fruit","yes",0.7,20,0.5,20,NA,14,6,10,10,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",0.847297860387203,0.438095238095238
"22","Calophyllum","costatum","Calophyllum costatum","bird","Clusiaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","no",NA,"whole fruit","yes",0.7,60,0.5,20,NA,42,18,10,10,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",0.847297860387203,0.279365079365079
"22","Calophyllum","costatum","Calophyllum costatum","bird","Clusiaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","no",NA,"whole fruit","yes",0.378,38,0.5,20,NA,14,24,10,10,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",-0.538996500732687,0.313095238095238
"22","Castanospora","alphandi","Castanospora alphandi","bird","Sapindaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","pos",NA,"whole fruit","yes",0.971,35,0.381,63,NA,34,1,24,39,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",4.01186834039786,1.09671945701357
"22","Castanospora","alphandi","Castanospora alphandi","bird","Sapindaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","no",NA,"whole fruit","yes",0.86,50,0.381,63,NA,43,7,24,39,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",2.30079778241995,0.233420649118323
"22","Castanospora","alphandi","Castanospora alphandi","bird","Sapindaceae","Casuarius","casuarius","Casuarius casuarius","tropical","mainland","old world",2010,"Australia","Not in GISD","Not in GISD",NA,"VU","yes","yes","field soil","no",NA,"whole fruit","yes",0.9,20,0.381,63,NA,18,2,24,39,"Bradford, M. (2010) Consequences of southern cassowary (Casuarius casuarius, L.) gut passage and deposition pattern on the germination of rainforest seeds. Austral Ecology. 325-333.",2.68273239311792,0.622863247863248
